Modem information
Manafacturer, Quectel
Model, EG06

Command, Status, Response, Expected 
ATI, PASSED, OK, OK
AT+GMI, PASSED, OK, OK
AT+GMM, PASSED, OK, OK
AT+GMR, PASSED, OK, OK
AT+CGMI, PASSED, OK, OK
AT+CGMM, PASSED, OK, OK
AT+CGMR, PASSED, OK, OK
AT+GSN, PASSED, OK, OK
AT+CGSN, PASSED, OK, OK
AT&F, PASSED, OK, OK
AT&V, PASSED, OK, OK
AT&W, PASSED, OK, OK
ATZ, PASSED, OK, OK
ATQ, PASSED, OK, OK
ATV, PASSED, OK, OK
ATE1, PASSED, OK, OK
A/, PASSED, OK, OK
ATS3, PASSED, OK, OK
ATS4, PASSED, OK, OK
ATS5, PASSED, OK, OK
AT+CMGF, PASSED, OK, OK
AT+CSCS, PASSED, OK, OK
AT+CMGS, PASSED, OK, OK
